번호,통화일시,신고내역(위치),동물종
217,2021-07-27 08:31,고양이 사체 - 구정면 박월동 수영장에서 남강릉 IC방향으로 가다보면 좌측으로 빠지는 길이 있음. 그 부근에 고양이 사체 있음,고양이
218,2021-07-27 13:01,"교동 890-41번지, 제일고등학교 부근 고양이 로드킬 신고 문의",고양이
219,2021-07-28 18:22,아기 고양이 로드킬 신고노암동 병무청 입구 4거리  신호등아래(시내로나오는 방향2차선도로),고양이
220,2021-07-30 14:06,주문진에서 강릉뱡향 즈므고가 전에 중앙분리대 고양이 로드킬,고양이
221,2021-07-30 15:41,테라로사 맞은편 바닷가쪽인데 강아지 사체있음. ( 경포 테라로사) ,강아지
222,2021-07-30 16:37,로드킬 신고 -> 강릉에서 정동진방향 모전교차로 가기전 1km 중앙선 로드킬 신고 전화를 주심 ,불명
223,2021-08-02 08:39,"고양이사체, 행복예식장~택지방향, 욕실인테리어가게 앞 ",고양이
224,2021-08-04 10:45,고양이 사체 - 명성칼라테크 대각선으로 방향 도로에 있음,고양이
225,2021-08-04 10:47,[로드킬] 고양이 사체--옥천동 수협 부근 요술강아지앞 (홈플러스가는 방향),고양이
226,2021-08-06 16:11,공원에 비둘기가 여러마리가 폐사 되어있음.  부영하슬라빌 ( 우편집중국옆) 하슬라빌 들어가는 아파트 도로변 입구 좌측으로 공원있음. 여러마리 죽어있음,비둘기
227,2021-08-09 11:51,고양이 사체 신고강릉대로148. 신촌석쇠구이 가게앞 쓰레기 버려져있는곳에 있음,고양이
228,2021-08-09 14:10,"길거리 고양이 로드킬 사체  - 강릉안목해변, 노아회식당  주차장쪽 앞( 바다보이는 삼거리) ",고양이
229,2021-08-09 17:23, 강릉시 내곡동 이마트  편의점 강릉관동대점 바로 앞 고양이 로드킬,고양이
230,2021-08-10 13:05,구정 삼교리막국수에서 관동대학교 방향으로 50m  부근 고라니 로드킬 신고 ,고라니
231,2021-08-11 12:00,"강릉여고 후문, 고양이 로드킬",고양이
